Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,41,23,0.641,L 1,5.0,3.5,1.4,-0.1,1.3,42-22,-1.0,10-2,13-8,7-6,11-7,21-8,20-15,2-4,12-7,29-19,12-4,23-18,18-5,7-3,12-8,20-10
2.0,Chicago Cubs,39,23,0.629,W 1,5.7,4.0,1.7,-0.2,1.5,41-21,-2.0,8-7,8-4,15-11,8-1,20-11,19-12,3-3,9-4,30-15,9-8,16-16,23-7,8-2,15-5,20-10
3.0,New York Yankees,38,23,0.623,W 1,5.3,3.7,1.6,-0.1,1.6,40-21,-2.0,7-6,7-5,10-2,14-10,20-10,18-13,1-3,11-11,30-18,8-5,25-18,13-5,7-3,14-6,20-10
4.0,New York Mets,39,24,0.619,L 1,4.4,3.3,1.1,-0.1,1.1,40-23,-1.0,9-4,9-4,10-6,11-10,24-7,15-17,3-3,13-10,31-17,8-7,23-15,16-9,7-3,11-9,17-13
5.0,Los Angeles Dodgers,38,25,0.603,W 1,5.7,4.5,1.2,0.0,1.2,38-25,0.0,15-10,5-5,7-3,11-7,23-11,15-14,5-3,10-8,29-14,9-11,18-15,20-10,6-4,10-10,15-15
6.0,Philadelphia Phillies,37,25,0.597,L 2,4.7,4.4,0.3,-0.2,0.1,33-29,4.0,9-9,7-8,13-4,8-4,19-12,18-13,4-4,11-5,29-15,8-10,16-18,21-7,3-7,12-8,19-11
7.0,San Diego Padres,35,26,0.574,L 2,4.1,3.9,0.3,-0.1,0.1,32-29,3.0,8-2,8-4,9-3,10-17,20-10,15-16,3-3,13-7,24-17,11-9,13-20,22-6,6-4,9-11,15-15
8.0,San Francisco Giants,35,28,0.556,W 2,4.1,3.4,0.7,-0.1,0.6,37-26,-2.0,6-4,8-5,6-7,15-12,19-11,16-17,4-3,13-12,29-16,6-12,19-19,16-9,4-6,10-10,15-15
9.0,Houston Astros,34,28,0.548,W 1,4.0,3.7,0.3,0.1,0.5,33-29,1.0,6-4,8-7,10-6,10-11,22-12,12-16,2-0,10-7,30-26,4-2,23-21,11-7,7-3,12-8,17-13
10.0,Minnesota Twins,34,28,0.548,L 1,4.2,3.6,0.6,-0.1,0.5,35-27,-1.0,9-3,10-12,8-5,7-8,18-8,16-20,3-4,7-9,29-24,5-4,16-21,18-7,5-5,12-8,21-9
11.0,St. Louis Cardinals,34,28,0.548,L 1,4.7,4.3,0.4,0.1,0.5,34-28,0.0,10-9,8-5,3-0,13-14,20-10,14-18,1-4,11-8,23-18,11-10,20-14,14-14,5-5,11-9,20-10
12.0,Cleveland Guardians,33,28,0.541,L 1,4.0,4.2,-0.3,0.1,-0.2,29-32,4.0,7-8,14-5,3-3,9-12,17-11,16-17,4-0,8-5,30-18,3-10,20-17,13-11,4-6,9-11,15-15
13.0,Milwaukee Brewers,34,29,0.54,W 1,4.6,4.2,0.4,0.0,0.4,34-29,0.0,3-0,9-8,4-6,18-15,18-10,16-19,3-2,9-8,21-21,13-8,16-21,18-8,9-1,14-6,18-12
14.0,Toronto Blue Jays,33,29,0.532,W 2,4.2,4.2,0.0,0.0,-0.1,31-31,2.0,10-12,2-4,11-8,10-5,22-13,11-16,4-2,8-8,25-23,8-6,13-20,20-9,8-2,12-8,17-13
15.0,Tampa Bay Rays,33,29,0.532,W 3,4.4,3.6,0.8,0.0,0.8,36-26,-3.0,9-7,2-4,8-8,14-10,21-19,12-10,3-1,10-10,24-20,9-9,21-17,12-12,7-3,14-6,19-11
16.0,Seattle Mariners,32,29,0.525,L 3,4.4,4.4,0.0,-0.2,-0.2,31-30,1.0,5-10,5-4,14-8,8-7,16-17,16-12,4-5,12-9,22-21,10-8,12-16,20-13,3-7,9-11,13-17
17.0,Kansas City Royals,33,30,0.524,W 1,3.4,3.5,0.0,0.1,0.1,31-32,2.0,8-7,12-12,3-3,10-8,19-13,14-17,4-3,12-9,26-26,7-4,20-24,13-6,5-5,8-12,16-14
18.0,Arizona Diamondbacks,31,31,0.5,W 4,5.1,5.2,0.0,0.2,0.2,31-31,0.0,13-11,6-10,7-6,5-4,15-17,16-14,2-4,10-11,22-22,9-9,17-21,14-10,5-5,9-11,14-16
19.0,Cincinnati Reds,30,33,0.476,L 1,4.4,4.1,0.4,-0.1,0.3,34-29,-4.0,3-7,10-13,6-3,11-10,15-16,15-17,0-5,5-10,23-20,7-13,16-19,14-14,4-6,10-10,12-18
20.0,Boston Red Sox,30,34,0.469,W 1,4.7,4.5,0.2,-0.1,0.1,33-31,-3.0,8-9,9-10,5-8,8-7,17-16,13-18,4-7,6-17,25-25,5-9,15-19,15-15,3-7,8-12,12-18
21.0,Washington Nationals,29,33,0.468,L 1,4.4,5.1,-0.7,-0.1,-0.8,27-35,2.0,8-11,4-9,9-6,8-7,14-16,15-17,2-1,11-7,22-24,7-9,15-22,14-11,5-5,12-8,15-15
22.0,Texas Rangers,29,34,0.46,L 3,3.4,3.4,0.0,0.0,0.0,31-32,-2.0,8-11,3-3,8-12,10-8,20-13,9-21,0-0,9-13,24-24,5-10,14-23,15-11,4-6,7-13,13-17
23.0,Los Angeles Angels,28,33,0.459,L 1,4.2,5.1,-0.9,0.0,-0.9,25-36,3.0,7-8,6-10,5-7,10-8,10-15,18-18,3-0,10-4,25-27,3-6,17-22,11-11,3-7,11-9,16-14
24.0,Atlanta Braves,27,34,0.443,L 4,4.1,4.0,0.1,0.0,0.1,31-30,-4.0,7-7,6-4,6-16,8-7,17-14,10-20,5-1,9-16,21-27,6-7,14-23,13-11,2-8,7-13,13-17
25.0,Baltimore Orioles,25,36,0.41,W 6,3.8,5.3,-1.4,0.1,-1.3,22-39,3.0,8-8,7-14,5-1,5-13,12-17,13-19,1-2,9-7,21-25,4-11,15-24,10-12,8-2,10-10,12-18
26.0,Miami Marlins,23,37,0.383,L 4,4.0,5.4,-1.4,0.1,-1.3,22-38,1.0,6-8,7-6,3-15,7-8,14-20,9-17,3-3,8-11,16-28,7-9,11-25,12-12,3-7,8-12,11-19
27.0,Athletics,24,40,0.375,W 1,4.3,6.1,-1.8,0.0,-1.8,22-42,2.0,1-6,6-4,8-12,9-18,10-22,14-18,3-2,7-10,18-34,6-6,10-31,14-9,1-9,2-18,6-24
28.0,Pittsburgh Pirates,23,40,0.365,L 1,3.2,4.2,-1.0,0.3,-0.8,24-39,-1.0,7-10,7-12,4-8,5-10,14-18,9-22,3-3,10-13,19-30,4-10,13-30,10-10,4-6,9-11,11-19
29.0,Chicago White Sox,20,43,0.317,W 1,3.4,4.3,-0.9,0.0,-0.9,25-38,-5.0,3-7,4-16,7-11,6-9,14-17,6-26,2-2,4-16,14-34,6-9,9-26,11-17,3-7,6-14,11-19
30.0,Colorado Rockies,12,50,0.194,W 3,3.2,6.1,-2.9,0.3,-2.6,14-48,-2.0,5-14,1-8,3-13,3-15,6-22,6-28,0-4,6-11,11-33,1-17,6-38,6-12,3-7,5-15,6-24
,Average,31,31,0.5,,4.3,4.3,,,,31-30,,7-7,7-7,7-6,9-9,17-13,13-17,2-2,9-9,24-22,7-8,16-21,14-10,4-5,9-10,14-15
